,name,Price,year,kms_driven,fuel_type,company
4989,Hyundai Santro Xing,250000,2011,50000,Petrol,Hyundai
4990,Hyundai Grand i10,550000,2018,11510,Diesel,Hyundai
4991,Mahindra Scorpio S6,800000,2014,100000,Diesel,Mahindra
4992,Mahindra KUV100 NXT,490000,2017,50000,Diesel,Mahindra
4993,Maruti Swift VDI,480000,2014,117962,Diesel,Maruti
4994,Maruti Ciaz VDi,655000,2016,115000,Diesel,Maruti
4995,Hyundai Creta 1.6,1100000,2017,50000,Diesel,Hyundai
4996,Maruti Baleno Alpha,890000,2018,1300,Petrol,Maruti
4997,Jaguar XF 2.2,3200000,2015,29000,Diesel,others
4998,Hyundai i10 Sportz,355000,2011,94000,Petrol,Hyundai
4999,Maruti Swift Dzire,420000,2012,43500,Diesel,Maruti
5000,Maruti Wagon R,409999,2014,20903,CNG,Maruti
5001,Maruti Eeco 5,250000,2014,30000,Petrol,Maruti
5002,Tata Tiago 1.2,420000,2017,80000,Petrol,Tata
5003,Hyundai Verna 1.6,740000,2014,103247,Diesel,Hyundai
5004,Honda City 2017-2020,225000,2008,100000,Petrol,Honda
5005,Mercedes-Benz E-Class 280,1200000,2009,107591,Diesel,Mercedes-Benz
5006,Hyundai Creta 1.4,1350000,2020,15000,Diesel,Hyundai
5007,Maruti Swift Dzire,822000,2017,9691,Diesel,Maruti
5008,Renault KWID RXT,325000,2016,87000,Petrol,Renault
5009,Tata Indigo LS,150000,2013,100000,Diesel,Tata
5010,Renault KWID RXT,350000,2016,37000,Petrol,Renault
5011,Tata Sumo SA,150000,2004,120000,Diesel,Tata
5012,Maruti Swift VDI,270000,2011,46700,Diesel,Maruti
5013,Chevrolet Beat Diesel,195000,2014,72456,Diesel,Chevrolet
5014,Mercedes-Benz S-Class S350L,3000000,2012,50000,Diesel,Mercedes-Benz
5015,Maruti Ritz LDi,260000,2012,107589,Diesel,Maruti
5016,Tata Indica DLS,120000,2014,120000,Diesel,Tata
5017,Honda City i,600000,2015,120000,Diesel,Honda
5018,Hyundai i10 Asta,385000,2011,45000,Petrol,Hyundai
5019,Honda Amaze V,860000,2018,69000,Diesel,Honda
5020,Ford Fiesta Titanium,400000,2012,120000,Diesel,Ford
5021,Honda Amaze E,700000,2019,30000,Diesel,Honda
5022,Hyundai i20 Petrol,750000,2019,40000,Petrol,Hyundai
5023,Nissan Micra Diesel,350000,2013,60000,Diesel,Nissan
5024,Maruti S-Cross 2017-2020,840000,2018,64000,Diesel,Maruti
5025,Tata Safari 2005-2017,190000,2008,60000,Diesel,Tata
5026,Maruti Swift VXI,490000,2016,49000,Petrol,Maruti
5027,Maruti Alto LXi,200000,2012,70000,Petrol,Maruti
5028,Renault Duster 110PS,775000,2015,70000,Diesel,Renault
5029,Tata Tiago 1.2,550000,2019,18900,Petrol,Tata
5030,Hyundai i10 Magna,400000,2012,15000,Petrol,Hyundai
5031,Maruti Ertiga VDI,650000,2015,133000,Diesel,Maruti
5032,Hyundai Xcent 1.2,600000,2018,70000,Diesel,Hyundai
5033,Maruti Vitara Brezza,950000,2017,34000,Diesel,Maruti
5034,Hyundai Verna 1.6,925000,2017,30700,Diesel,Hyundai
5035,Kia Seltos HTX,1549000,2019,5000,Diesel,others
5036,Maruti A Star,200000,2010,120000,Petrol,Maruti
5037,Maruti Swift Dzire,650000,2018,21500,Petrol,Maruti
5038,Maruti Alto K10,250999,2012,55294,Petrol,Maruti
5039,Maruti Swift Dzire,800000,2018,10000,Diesel,Maruti
5040,Maruti Swift VXI,350000,2013,20000,Petrol,Maruti
5041,Skoda Laura Ambiente,400000,2012,100000,Diesel,Skoda
5042,Hyundai Santro Xing,265000,2008,48522,Petrol,Hyundai
5043,Toyota Innova 2.5,1030000,2015,78000,Diesel,Toyota
5044,Mahindra Xylo D4,690000,2017,142222,Diesel,Mahindra
5045,Maruti Wagon R,150000,2009,77000,Petrol,Maruti
5046,Maruti Ertiga ZDI,600000,2014,72859,Diesel,Maruti
5047,Ford Ecosport 1.5,565000,2014,77984,Diesel,Ford
5048,Mercedes-Benz C-Class 220,1350000,2014,70000,Diesel,Mercedes-Benz
5049,Nissan Micra XV,300000,2011,60000,Petrol,Nissan
5050,Tata Indigo eLX,195000,2010,80000,Diesel,Tata
5051,Nissan Terrano XL,560000,2013,49862,Diesel,Nissan
5052,Skoda Rapid 1.6,450000,2012,163971,Diesel,Skoda
5053,Hyundai Grand i10,380000,2014,43000,Petrol,Hyundai
5054,Audi Q7 2006-2020,1950000,2012,129000,Diesel,Audi
5055,Mahindra Bolero 2011-2019,434999,2012,75000,Diesel,Mahindra
5056,Tata Indica Vista,200000,2013,44000,Diesel,Tata
5057,Mahindra Thar 700,969999,2019,16000,Diesel,Mahindra
5058,Ford Figo Diesel,250000,2014,60000,Diesel,Ford
5059,Volkswagen Polo 1.0,550000,2019,37326,Petrol,Volkswagen
5060,Maruti Alto 800,250000,2014,48255,Petrol,Maruti
5061,Maruti Baleno Delta,698000,2016,45215,Petrol,Maruti
5062,Renault KWID AMT,395000,2017,33000,Petrol,Renault
5063,Mahindra Scorpio VLX,565000,2011,156000,Diesel,Mahindra
5064,Hyundai Verna VTVT,775000,2017,20000,Petrol,Hyundai
5065,Maruti Swift Dzire,750000,2019,57000,Diesel,Maruti
5066,Mahindra Bolero SLX,325000,2010,350000,Diesel,Mahindra
5067,Honda City V,1000000,2020,2000,Petrol,Honda
5068,Hyundai Creta 1.6,1350000,2019,31700,Diesel,Hyundai
5069,Maruti Omni E,204999,2015,29165,Petrol,Maruti
5070,Honda City i-VTEC,900000,2017,59000,Petrol,Honda
5071,Isuzu D-Max V-Cross,1250000,2017,51000,Diesel,others
5072,Maruti Swift Dzire,480000,2015,77500,Diesel,Maruti
5073,Maruti Swift LXI,539000,2019,8000,Petrol,Maruti
5074,Ford Aspire 1.5,690000,2017,24000,Diesel,Ford
5075,Mahindra Ssangyong Rexton,800000,2013,160000,Diesel,Mahindra
5076,Ford Ecosport 2015-2021,1025000,2018,18890,Diesel,Ford
5077,Hyundai Grand i10,525000,2018,5000,Petrol,Hyundai
5078,Hyundai EON 1.0,335000,2018,39000,Petrol,Hyundai
5079,Hyundai i10 Asta,385000,2012,41000,Petrol,Hyundai
5080,Maruti Wagon R,290000,2014,40330,Petrol,Maruti
5081,BMW X1 sDrive20d,3450000,2019,40000,Diesel,BMW
5082,Skoda Rapid 1.5,635000,2016,98000,Diesel,Skoda
5083,BMW X3 xDrive20d,2675000,2014,66000,Diesel,BMW
5084,Tata Nexon 1.5,950000,2018,50000,Diesel,Tata
5085,Maruti Celerio ZXI,545000,2018,36000,Petrol,Maruti
5086,Mahindra Quanto C2,300000,2013,70000,Diesel,Mahindra
5087,Mitsubishi Pajero 2.8,825000,2010,125654,Diesel,others
5088,Ford Figo Diesel,325000,2014,77000,Diesel,Ford
5089,Maruti Wagon R,425000,2016,58802,Petrol,Maruti
5090,Ford Ecosport 2015-2021,825000,2018,38959,Diesel,Ford
5091,Tata Indigo LX,250000,2012,100000,Diesel,Tata
5092,Maruti Alto 800,349000,2018,37000,Petrol,Maruti
5093,Toyota Etios Liva,325000,2012,70000,Diesel,Toyota
5094,Volkswagen Vento 1.2,750000,2015,56000,Petrol,Volkswagen
5095,Maruti Swift Dzire,580000,2013,91000,Diesel,Maruti
5096,Toyota Fortuner 3.0,1250000,2010,110000,Diesel,Toyota
5097,Volkswagen Polo 2015-2019,615000,2017,100000,Diesel,Volkswagen
5098,Hyundai i10 Sportz,370000,2012,68000,Petrol,Hyundai
5099,Chevrolet Sail Hatchback,235000,2013,53000,Petrol,Chevrolet
5100,Maruti Wagon R,160000,2007,78000,Petrol,Maruti
5101,Maruti Alto K10,370000,2019,20000,Petrol,Maruti
5102,Audi A6 2.0,1550000,2011,85000,Diesel,Audi
5103,Fiat Grande Punto,415000,2014,55000,Diesel,others
5104,Hyundai Elantra CRDi,750000,2013,60000,Diesel,Hyundai
5105,Hyundai i20 Asta,600000,2016,30000,Petrol,Hyundai
5106,Renault Lodgy 85PS,725000,2015,33400,Diesel,Renault
5107,Hyundai Creta 1.6,1150000,2017,34800,Petrol,Hyundai
5108,Skoda Superb Style,1950000,2017,30000,Petrol,Skoda
5109,Honda City i,575000,2013,38000,Petrol,Honda
5110,Toyota Fortuner 4x2,1700000,2015,124000,Diesel,Toyota
5111,Chevrolet Tavera Neo,285000,2012,72545,Diesel,Chevrolet
5112,Ford Figo Diesel,195000,2012,70000,Diesel,Ford
5113,Hyundai i10 Sportz,445000,2016,50979,Petrol,Hyundai
5114,Maruti Ertiga SHVS,700000,2016,65000,Diesel,Maruti
5115,Maruti Swift Dzire,409999,2015,45782,Diesel,Maruti
5116,Toyota Innova 2.5,500000,2008,270000,Diesel,Toyota
5117,Maruti Baleno Alpha,645000,2017,26917,Petrol,Maruti
5118,Maruti Alto LXi,114999,2010,35000,Petrol,Maruti
5119,BMW 3 Series,1375000,2013,90000,Diesel,BMW
5120,Skoda Superb Elegance,575000,2010,154667,Diesel,Skoda
5121,Maruti Alto 800,262000,2013,15000,Petrol,Maruti
5122,Honda Jazz 1.5,625000,2017,70000,Diesel,Honda
5123,Maruti Vitara Brezza,785000,2017,83000,Diesel,Maruti
5124,Maruti Swift Dzire,509999,2015,61000,Diesel,Maruti
5125,Maruti Wagon R,204999,2008,64521,Petrol,Maruti
5126,Maruti Vitara Brezza,900000,2018,11000,Diesel,Maruti
5127,Hyundai Verna 1.6,550000,2013,70000,Diesel,Hyundai
5128,Kia Seltos GTX,1635000,2019,6000,Petrol,others
5129,Ford Endeavour 3.2,3000000,2018,25000,Diesel,Ford
5130,Toyota Innova 2.5,1150000,2016,139000,Diesel,Toyota
5131,Maruti Wagon R,290000,2011,69001,Petrol,Maruti
5132,Tata Bolt Revotron,350000,2016,70000,Petrol,Tata
5133,Maruti Swift ZXI,610000,2018,20000,Petrol,Maruti
5134,Maruti Vitara Brezza,814000,2017,56000,Diesel,Maruti
5135,Maruti Swift LDI,390000,2012,60000,Diesel,Maruti
5136,Hyundai Verna SX,650000,2012,67000,Diesel,Hyundai
5137,Mercedes-Benz S-Class S,2450000,2011,82000,Diesel,Mercedes-Benz
5138,Mahindra XUV500 W6,600000,2013,70000,Diesel,Mahindra
5139,Mercedes-Benz GLA Class,2500000,2016,25000,Petrol,Mercedes-Benz
5140,Hyundai Grand i10,583000,2016,91288,Diesel,Hyundai
5141,Ford Fiesta 1.4,120000,2007,152000,Diesel,Ford
5142,Mercedes-Benz C-Class C,1450000,2012,112000,Diesel,Mercedes-Benz
5143,Ford Aspire 1.2,395000,2016,75000,Petrol,Ford
5144,Mahindra Scorpio S8,925000,2015,67000,Diesel,Mahindra
5145,Audi Q3 2.0,1100000,2013,103142,Diesel,Audi
5146,Hyundai i20 1.2,750000,2018,5000,Petrol,Hyundai
5147,Honda City 1.5,145000,2004,79000,Petrol,Honda
5148,Honda City 1.5,560000,2013,31000,Petrol,Honda
5149,Nissan Micra Diesel,350000,2012,95000,Diesel,Nissan
5150,Renault Duster 110PS,745000,2016,44213,Diesel,Renault
5151,Maruti Baleno Zeta,700000,2018,30000,Petrol,Maruti
5152,Nissan Terrano XV,580000,2014,115239,Diesel,Nissan
5153,Honda Amaze VX,875000,2019,8000,Diesel,Honda
5154,BMW 3 Series,2700000,2016,76000,Diesel,BMW
5155,Maruti Ciaz VDi,797000,2016,68429,Diesel,Maruti
5156,Honda Brio 1.2,320000,2012,58885,Petrol,Honda
5157,Hyundai Grand i10,571000,2016,46861,Petrol,Hyundai
5158,Honda Amaze S,565000,2016,59000,Diesel,Honda
5159,Honda Jazz 1.2,630000,2016,33980,Petrol,Honda
5160,Maruti Swift VXI,600000,2019,25500,Petrol,Maruti
5161,Maruti Alto LXI,195000,2010,51479,Petrol,Maruti
5162,Maruti Baleno Zeta,620000,2016,30000,Petrol,Maruti
5163,Tata Nexon 1.5,735000,2018,87000,Diesel,Tata
5164,Maruti Swift VDI,650000,2017,40000,Diesel,Maruti
5165,Renault KWID RXT,320000,2018,30000,Petrol,Renault
5166,Honda City i,1100000,2018,29000,Diesel,Honda
5167,Datsun GO T,444000,2019,10000,Petrol,others
5168,Hyundai Grand i10,475000,2015,69300,Petrol,Hyundai
5169,Toyota Innova 2.5,790000,2010,142800,Diesel,Toyota
5170,Hyundai Grand i10,568000,2017,37850,Petrol,Hyundai
5171,Maruti Alto K10,350000,2016,52361,Petrol,Maruti
5172,Mahindra Scorpio S11,1500000,2018,70000,Diesel,Mahindra
5173,Tata Sumo Victa,300000,2007,100000,Diesel,Tata
5174,Honda WR-V i-VTEC,770000,2018,19790,Petrol,Honda
5175,Mahindra XUV500 R,1250000,2015,68200,Diesel,Mahindra
5176,Toyota Innova 2.5,850000,2013,140000,Diesel,Toyota
5177,Chevrolet Optra 1.8,160000,2005,140000,Petrol,Chevrolet
5178,Maruti Swift ZDI,425000,2012,79000,Diesel,Maruti
5179,Maruti Baleno Alpha,580000,2018,43875,Petrol,Maruti
5180,Volvo S60 D3,1150000,2012,90000,Diesel,others
5181,Maruti Swift Dzire,791000,2018,100000,Diesel,Maruti
5182,Skoda Rapid 1.5,555000,2015,69000,Diesel,Skoda
5183,Chevrolet Beat Diesel,245000,2012,51000,Diesel,Chevrolet
5184,Maruti Ciaz VXi,750000,2015,30000,Petrol,Maruti
5185,Chevrolet Enjoy TCDi,351000,2014,120000,Diesel,Chevrolet
5186,Mercedes-Benz CLS 350,3600000,2014,34000,Petrol,Mercedes-Benz
5187,Renault KWID 1.0,250000,2016,25000,Petrol,Renault
5188,Maruti Swift Dzire,495000,2015,68000,Diesel,Maruti
5189,BMW 3 Series,2275000,2016,13500,Diesel,BMW
5190,Maruti Alto LXi,150000,2006,120000,Petrol,Maruti
5191,Mahindra XUV500 AT,1025000,2016,110000,Diesel,Mahindra
5192,Mahindra NuvoSport N8,630000,2017,160000,Diesel,Mahindra
5193,Honda Amaze VX,780000,2018,40079,Petrol,Honda
5194,Datsun RediGO T,229999,2017,35000,Petrol,others
5195,Volkswagen Ameo 1.5,860000,2018,20000,Diesel,Volkswagen
5196,Volkswagen Vento 1.5,690000,2015,63096,Diesel,Volkswagen
5197,Maruti Ciaz Alpha,840000,2018,14774,Petrol,Maruti
5198,Volkswagen Jetta 2.0L,525000,2012,276000,Diesel,Volkswagen
5199,Tata Hexa XT,1050000,2017,74000,Diesel,Tata
5200,Maruti Swift VDI,385000,2010,75000,Diesel,Maruti
5201,Maruti Swift Ldi,300000,2010,110000,Diesel,Maruti
5202,Renault KWID RXT,345000,2016,30000,Petrol,Renault
5203,Chevrolet Beat Diesel,350000,2017,97000,Diesel,Chevrolet
5204,Hyundai i10 Era,225000,2012,70000,Petrol,Hyundai
5205,BMW 5 Series,2200000,2015,120000,Diesel,BMW
5206,Chevrolet Beat PS,185000,2011,44000,Petrol,Chevrolet
5207,Maruti Celerio ZXI,500000,2018,17000,Petrol,Maruti
5208,Maruti Swift VDI,420000,2013,50000,Diesel,Maruti
5209,Maruti Swift VDI,525000,2015,70695,Diesel,Maruti
5210,Hyundai Creta 1.6,1100000,2018,30000,Petrol,Hyundai
5211,Honda City i-VTEC,1225000,2017,10000,Petrol,Honda
5212,Ford Figo Petrol,295000,2014,30000,Petrol,Ford
5213,Maruti Alto LXi,165000,2009,70000,Petrol,Maruti
5214,Maruti Swift VXI,300000,2013,50000,Petrol,Maruti
5215,Hyundai EON Magna,270000,2016,25000,Petrol,Hyundai
5216,Maruti Swift Dzire,530000,2014,101374,Diesel,Maruti
5217,BMW 5 Series,1500000,2012,85000,Diesel,BMW
5218,Hyundai Grand i10,550000,2019,25000,Petrol,Hyundai
5219,Ford Ecosport 2015-2021,615000,2015,69000,Diesel,Ford
5220,Chevrolet Beat Diesel,210000,2012,80000,Diesel,Chevrolet
5221,Jaguar XF 3.0,1550000,2011,70000,Diesel,others
5222,Honda City i,600000,2015,128000,Diesel,Honda
5223,Honda City SV,580000,2016,95066,Petrol,Honda
5224,BMW X1 sDrive,3800000,2019,10500,Diesel,BMW
5225,Hyundai Venue SX,958000,2019,15000,Petrol,Hyundai
5226,Maruti Swift 1.3,430000,2013,54600,Petrol,Maruti
5227,Maruti Swift VDI,440000,2013,71233,Diesel,Maruti
5228,Honda City i,1025000,2017,29000,Petrol,Honda
5229,Maruti Eeco 5,350000,2018,33000,Petrol,Maruti
5230,Maruti Zen Estilo,100000,2006,70000,Petrol,Maruti
5231,Hyundai i10 Magna,385000,2015,63168,Petrol,Hyundai
5232,Tata Hexa XE,1150000,2017,10000,Diesel,Tata
5233,Hyundai i20 1.4,780000,2018,25645,Diesel,Hyundai
5234,Mitsubishi Pajero Sport,1120000,2014,60000,Diesel,others
5235,Hyundai i10 Magna,275000,2010,90000,Petrol,Hyundai
5236,BMW 5 Series,1900000,2011,30000,Diesel,BMW
5237,Hyundai i20 1.4,320000,2010,97845,Diesel,Hyundai
5238,Mahindra Scorpio S11,1550000,2018,47000,Diesel,Mahindra
5239,Maruti Swift Dzire,475000,2013,85000,Petrol,Maruti
5240,Honda Brio V,395000,2016,60000,Petrol,Honda
5241,Mahindra Bolero 2011-2019,434999,2012,75000,Diesel,Mahindra
5242,Maruti Omni E,250000,2017,20000,Petrol,Maruti
5243,Honda City 1.5,440000,2011,79418,Petrol,Honda
5244,Skoda Yeti Ambition,700000,2012,105246,Diesel,Skoda
5245,Audi Q3 2.0,2200000,2015,69000,Diesel,Audi
5246,Ford Ecosport 1.5,430000,2013,92000,Diesel,Ford
5247,Maruti Alto K10,347000,2016,32903,Petrol,Maruti
5248,Toyota Corolla H5,150000,2007,137000,Petrol,Toyota
5249,Hyundai i20 1.4,660000,2016,88098,Diesel,Hyundai
5250,Maruti Swift VDI,475000,2014,81000,Diesel,Maruti
5251,Maruti Baleno Delta,575000,2016,98000,Petrol,Maruti
5252,Maruti Alto LXi,211000,2012,42000,Petrol,Maruti
5253,Maruti Swift Dzire,550000,2013,55002,Diesel,Maruti
5254,Hyundai Creta 1.6,1249000,2016,88000,Diesel,Hyundai
5255,Maruti Swift VDI,535000,2016,100000,Diesel,Maruti
5256,Mercedes-Benz C-Class 220,994999,2008,99000,Diesel,Mercedes-Benz
5257,Maruti Swift VXI,500000,2014,50000,Petrol,Maruti
5258,Tata Indigo CR4,275000,2013,68782,Diesel,Tata
5259,Hyundai Venue SX,1175000,2019,15000,Diesel,Hyundai
5260,Hyundai Verna CRDi,190000,2008,90000,Diesel,Hyundai
5261,Datsun GO A,200000,2015,30000,Petrol,others
5262,Maruti Alto 800,224000,2013,40580,Petrol,Maruti
5263,Volkswagen Polo Diesel,440000,2014,79000,Diesel,Volkswagen
5264,Hyundai Verna 1.6,430000,2013,70000,Petrol,Hyundai
5265,Ford Freestyle Titanium,880000,2019,13133,Diesel,Ford
5266,Maruti Vitara Brezza,768000,2016,51577,Diesel,Maruti
5267,Maruti Alto LXi,164000,2010,80000,Petrol,Maruti
5268,Mahindra Scorpio S4,725000,2014,136542,Diesel,Mahindra
5269,Maruti Ertiga ZDI,690000,2013,138000,Diesel,Maruti
5270,Hyundai Santro Xing,155000,2007,60000,Petrol,Hyundai
5271,Ford Ecosport 2015-2021,700000,2016,56393,Diesel,Ford
5272,Mercedes-Benz E-Class E250,1500000,2013,140000,Diesel,Mercedes-Benz
5273,Hyundai i20 Asta,430000,2013,131000,Diesel,Hyundai
5274,Tata Tiago 1.05,409999,2018,70000,Diesel,Tata
5275,Maruti Vitara Brezza,939000,2018,13666,Diesel,Maruti
5276,Hyundai i20 Magna,580000,2016,62000,Diesel,Hyundai
5277,Renault KWID 1.0,385000,2016,34000,Petrol,Renault
5278,BMW 3 Series,2500000,2016,96500,Diesel,BMW
5279,Hyundai Grand i10,515000,2018,10000,Petrol,Hyundai
5280,Renault Duster 110PS,570000,2013,49400,Diesel,Renault
5281,Mahindra Scorpio SLX,350000,2008,198000,Diesel,Mahindra
5282,Tata Safari Storme,950000,2018,65000,Diesel,Tata
5283,Honda WR-V i-DTEC,800000,2018,60000,Diesel,Honda
5284,Ford Figo Diesel,325000,2011,75000,Diesel,Ford
5285,BMW X5 xDrive,1898999,2010,95000,Diesel,BMW
5286,Maruti Swift Dzire,350000,2011,120000,Diesel,Maruti
5287,Maruti Alto K10,380000,2018,30000,Petrol,Maruti
5288,Hyundai Creta 1.4,880000,2017,60000,Diesel,Hyundai
5289,Honda Amaze EX,475000,2014,67000,Diesel,Honda
5290,Maruti Ritz ZXi,450000,2015,67600,Petrol,Maruti
5291,Toyota Innova Crysta,1800000,2016,70000,Diesel,Toyota
5292,Jaguar XF 2.0,3500000,2017,34600,Diesel,others
5293,Maruti Alto 800,220000,2013,66516,Petrol,Maruti
5294,Maruti Ciaz 1.4,780000,2017,44000,Petrol,Maruti
5295,Tata Safari 2005-2017,400000,2012,100000,Diesel,Tata
5296,Maruti Wagon R,260000,2012,109000,LPG,Maruti
5297,Mahindra Xylo D4,550000,2017,50000,Diesel,Mahindra
5298,Mahindra Bolero 2011-2019,500000,2012,150000,Diesel,Mahindra
5299,Volkswagen Vento 1.6,500000,2013,49361,Petrol,Volkswagen
5300,Hyundai i20 Sportz,550000,2014,44000,Petrol,Hyundai
5301,Hyundai Grand i10,425000,2016,70000,Diesel,Hyundai
5302,Maruti Ertiga VXI,695000,2016,27000,Petrol,Maruti
5303,Renault Duster 85PS,560000,2013,70209,Diesel,Renault
5304,Maruti Baleno Delta,599000,2017,25000,Petrol,Maruti
5305,Honda City i,715000,2016,70000,Petrol,Honda
5306,Maruti Swift Dzire,747000,2018,42048,Diesel,Maruti
5307,Hyundai Venue SX,1000000,2019,10000,Petrol,Hyundai
5308,Maruti Wagon R,380000,2017,60000,Petrol,Maruti
5309,Nissan Micra XV,225000,2011,106000,Petrol,Nissan
5310,Audi A3 35,2500000,2019,12100,Diesel,Audi
5311,Maruti Baleno Delta,550000,2018,28563,Petrol,Maruti
5312,Maruti SX4 S,850000,2016,70000,Diesel,Maruti
5313,Maruti Wagon R,291000,2012,66000,Petrol,Maruti
5314,Maruti Alto K10,350000,2018,35000,Petrol,Maruti
5315,Maruti Alto 800,350000,2019,1200,Petrol,Maruti
5316,Hyundai Verna 1.6,700000,2013,70000,Diesel,Hyundai
5317,Mahindra Scorpio 2009-2014,440000,2010,44000,Diesel,Mahindra
5318,Hyundai i20 Active,680000,2017,50000,Petrol,Hyundai
5319,Hyundai Creta 1.6,960000,2016,120000,Diesel,Hyundai
5320,Audi Q5 2.0,2000000,2013,93000,Diesel,Audi
5321,Volkswagen Ameo 1.2,575000,2017,40000,Petrol,Volkswagen
5322,Tata Vista Quadrajet,250000,2014,100000,Diesel,Tata
5323,Hyundai Creta 1.6,1149000,2017,34000,Petrol,Hyundai
5324,Hyundai Grand i10,380000,2015,70000,Diesel,Hyundai
5325,Maruti Wagon R,495000,2016,50000,Petrol,Maruti
5326,Mahindra XUV500 W6,850000,2015,55424,Diesel,Mahindra
5327,Renault KWID RXT,380000,2018,5694,Petrol,Renault
5328,Ford Figo 1.5D,525000,2016,50000,Diesel,Ford
5329,Maruti Swift Dzire,657000,2018,18677,Petrol,Maruti
5330,Hyundai Santro Xing,265000,2008,59106,Petrol,Hyundai
5331,Renault KWID 1.0,450000,2018,9200,Petrol,Renault
5332,Maruti SX4 S,690000,2016,55000,Diesel,Maruti
5333,Maruti Swift VDI,625000,2018,36000,Diesel,Maruti
5334,Maruti Ciaz Alpha,994999,2019,10000,Petrol,Maruti
5335,Maruti Swift Dzire,690000,2018,50000,Diesel,Maruti
5336,Volkswagen Vento Diesel,400000,2011,50000,Diesel,Volkswagen
5337,Maruti Swift Dzire,585000,2015,10000,Petrol,Maruti
5338,Honda Amaze VX,425000,2013,92000,Diesel,Honda
5339,Ford Figo Diesel,280000,2010,54523,Diesel,Ford
5340,Hyundai EON Magna,225000,2012,26000,Petrol,Hyundai
5341,Ford Figo 1.2P,525000,2016,25780,Petrol,Ford
5342,Toyota Fortuner 3.0,1185000,2010,131000,Diesel,Toyota
5343,Mahindra Xylo E8,325000,2010,120000,Diesel,Mahindra
5344,Maruti Swift Dzire,450000,2015,30000,Petrol,Maruti
5345,Maruti Ciaz 1.4,850000,2018,65120,Petrol,Maruti
5346,Maruti Swift AMT,550000,2018,50000,Diesel,Maruti
5347,Hyundai Creta 1.6,1149000,2017,66000,Petrol,Hyundai
5348,Hyundai Grand i10,565000,2019,7000,Petrol,Hyundai
5349,Tata Safari 2005-2017,105000,2007,74555,Diesel,Tata
5350,Maruti Alto K10,409999,2018,25000,Petrol,Maruti
5351,Mercedes-Benz CLA 200,2250000,2016,52800,Diesel,Mercedes-Benz
5352,Hyundai i20 Sportz,415000,2013,90000,Diesel,Hyundai
5353,Honda Brio 1.2,440000,2013,23748,Petrol,Honda
5354,Maruti Ciaz ZDi,600000,2017,60000,Diesel,Maruti
5355,Tata Indica DLS,70000,2009,150000,Diesel,Tata
5356,Maruti Swift Dzire,295000,2008,79000,Diesel,Maruti
5357,Maruti Alto LXi,235000,2012,67000,Petrol,Maruti
5358,Hyundai i20 Asta,621000,2016,51000,Petrol,Hyundai
5359,Mahindra Bolero 2011-2019,625000,2014,89000,Diesel,Mahindra
5360,Hyundai EON Sportz,310000,2013,55000,Petrol,Hyundai
5361,Maruti Alto LXi,175000,2009,26097,Petrol,Maruti
5362,Volkswagen Polo 1.5,625000,2015,61000,Diesel,Volkswagen
5363,Hyundai Grand i10,400000,2014,44904,Petrol,Hyundai
5364,Maruti Swift VDI,360000,2011,133592,Diesel,Maruti
5365,Audi Q7 2006-2020,1950000,2012,130000,Diesel,Audi
5366,Maruti Ritz LDi,415000,2016,70000,Diesel,Maruti
5367,Toyota Innova 2.5,400000,2008,119440,Diesel,Toyota
5368,Jeep Compass 2.0,1750000,2018,4000,Diesel,others
5369,Tata Indigo LS,324000,2016,120000,Diesel,Tata
5370,Ford Aspire 1.5,675000,2017,54000,Diesel,Ford
5371,Maruti S-Presso VXI,490000,2020,1000,Petrol,Maruti
5372,Maruti Ciaz Alpha,1095000,2018,30000,Diesel,Maruti
5373,Maruti Zen Estilo,120000,2008,80000,Petrol,Maruti
5374,Hyundai i20 Asta,600000,2015,72000,Diesel,Hyundai
5375,Maruti Alto LXi,185000,2007,86156,Petrol,Maruti
5376,Honda Jazz 1.5,590000,2016,65000,Diesel,Honda
5377,Volkswagen Vento Diesel,415000,2011,56238,Diesel,Volkswagen
5378,Maruti 800 AC,45000,2001,70000,Petrol,Maruti
5379,Maruti Vitara Brezza,910000,2019,66622,Diesel,Maruti
5380,Maruti Swift VDI,400000,2014,100000,Diesel,Maruti
5381,Toyota Innova 2.5,518000,2010,80000,Diesel,Toyota
5382,Maruti Swift VDI,630000,2017,70000,Diesel,Maruti
5383,Maruti Alto LXi,185000,2012,60000,Petrol,Maruti
5384,Maruti Alto 800,327000,2018,15453,Petrol,Maruti
5385,Chevrolet Sail Hatchback,200000,2013,110000,Diesel,Chevrolet
5386,Maruti Alto K10,265000,2015,70000,Petrol,Maruti
5387,Renault Triber RXZ,800000,2020,5600,Petrol,Renault
5388,Hyundai Grand i10,420000,2015,142996,Diesel,Hyundai
5389,Chevrolet Spark 1.0,190000,2011,65000,Petrol,Chevrolet
5390,Mahindra Thar CRDe,799000,2016,62000,Diesel,Mahindra
5391,Volkswagen Polo 2015-2019,790000,2017,50000,Diesel,Volkswagen
5392,Tata Hexa XM,800000,2018,25000,Diesel,Tata
5393,Tata Hexa XM,1380000,2019,34293,Diesel,Tata
5394,Ford Ecosport 2015-2021,980000,2018,50000,Diesel,Ford
5395,Maruti S-Presso VXI,420000,2019,5000,Petrol,Maruti
5396,Maruti Wagon R,310000,2014,76470,Petrol,Maruti
5397,Maruti Wagon R,309000,2011,78010,Petrol,Maruti
